Category,Price,Rating,Discount,Stock,In_Stock
CLOTHING,1929.99,4.42,39.21,In Stock,1
FURNITURE,8628.3,1.52,4.02,In Stock,1
FOOD,320.81,3.82,20.39,In Stock,1
FOOD,92.51,3.07,11.76,In Stock,1
ELECTRONICS,8485.82,1.77,12.83,Out of Stock,0
ELECTRONICS,6299.14,4.54,17.91,In Stock,1
ELECTRONICS,6486.44,1.92,8.23,Out of Stock,0
FURNITURE,5886.38,3.35,12.39,In Stock,1
FOOD,554.82,4.65,11.91,In Stock,1
FOOD,167.24,4.48,10.81,In Stock,1
ELECTRONICS,8356.35,2.08,1.62,In Stock,1
FURNITURE,14910.98,1.55,14.83,Out of Stock,0
FURNITURE,14727.36,2.75,9.89,Out of Stock,0
ELECTRONICS,7889.04,4.46,5.79,Out of Stock,0
ELECTRONICS,7338.41,3.03,8.22,In Stock,1
ELECTRONICS,7137.43,2.32,11.28,Out of Stock,0
CLOTHING,2626.44,2.6,47.05,Out of Stock,0
FOOD,566.82,4.65,16.69,In Stock,1
CLOTHING,2448.79,2.05,41.83,Out of Stock,0
CLOTHING,600.35,4.67,49.64,In Stock,1
FOOD,270.55,3.42,22.96,In Stock,1
ELECTRONICS,6265.13,4.46,2.06,Out of Stock,0
ELECTRONICS,814.89,4.94,35.32,In Stock,1
CLOTHING,2617.22,2.97,35.44,In Stock,1
CLOTHING,1985.6,3.81,35.71,In Stock,1
FURNITURE,9904.31,2.5,4.14,Out of Stock,0
ELECTRONICS,8842.91,1.91,13.85,Out of Stock,0
FOOD,225.0,4.25,22.41,In Stock,1
FOOD,214.04,3.12,3.93,In Stock,1
ELECTRONICS,8029.98,4.4,0.9,Out of Stock,0
FOOD,600.61,3.68,14.36,In Stock,1
ELECTRONICS,9644.3,2.33,9.31,Out of Stock,0
ELECTRONICS,5068.41,1.33,5.17,Out of Stock,0
FURNITURE,3334.23,3.21,6.4,In Stock,1
FURNITURE,9577.74,1.61,12.23,Out of Stock,0
FURNITURE,10965.89,4.38,0.76,Out of Stock,0
CLOTHING,2725.96,3.73,30.38,In Stock,1
ELECTRONICS,7501.39,1.28,1.8,Out of Stock,0
FOOD,500.68,3.68,27.52,In Stock,1
CLOTHING,1516.48,2.43,37.16,In Stock,1
ELECTRONICS,6466.77,3.1,13.96,In Stock,1
CLOTHING,2750.66,4.38,35.44,In Stock,1
ELECTRONICS,8398.17,4.78,5.92,In Stock,1
FURNITURE,3013.35,1.95,3.27,Out of Stock,0
CLOTHING,2154.59,3.9,31.71,In Stock,1
FOOD,62.18,4.46,9.71,In Stock,1
CLOTHING,2162.64,3.67,20.42,In Stock,1
FOOD,150.93,3.19,24.95,In Stock,1
FOOD,738.8,4.3,12.23,In Stock,1
ELECTRONICS,7010.14,3.92,15.6,Out of Stock,0
FURNITURE,4418.62,2.75,10.68,Out of Stock,0
FURNITURE,7279.15,1.89,0.19,Out of Stock,0
FURNITURE,9483.59,3.98,14.36,Out of Stock,0
ELECTRONICS,9788.94,2.8,1.28,Out of Stock,0
FOOD,461.65,3.76,18.21,In Stock,1
FURNITURE,7664.72,1.84,1.42,Out of Stock,0
ELECTRONICS,6574.59,1.39,3.54,Out of Stock,0
ELECTRONICS,9936.68,2.78,10.64,Out of Stock,0
ELECTRONICS,9368.09,4.98,11.65,In Stock,1
CLOTHING,2531.18,2.98,18.76,In Stock,1
CLOTHING,1506.76,4.02,35.7,In Stock,1
ELECTRONICS,1288.1,2.4,33.46,In Stock,1
FURNITURE,4539.91,3.02,10.4,In Stock,1
CLOTHING,2251.53,3.46,44.28,In Stock,1
CLOTHING,1787.38,4.19,32.86,In Stock,1
FOOD,189.98,3.05,8.54,In Stock,1
ELECTRONICS,7215.17,3.47,17.0,In Stock,1
ELECTRONICS,5354.95,1.44,14.45,Out of Stock,0
ELECTRONICS,5540.22,2.91,12.23,In Stock,1
FURNITURE,9496.49,1.3,0.86,Out of Stock,0
FURNITURE,4265.8,3.05,8.17,In Stock,1
ELECTRONICS,6168.7,3.55,16.4,In Stock,1
