Category,Price,Rating,Discount,Stock
Clothing,1929.99,4.42,39.21,In Stock
Furniture,,1.52,4.02,In Stock
Food,320.81,3.82,20.39,In Stock
Food,92.51,3.07,11.76,In Stock
Electronics,8485.82,1.77,12.83,Out of Stock
Electronics,6299.14,4.54,17.91,In Stock
Electronics,6486.44,1.92,8.23,Out of Stock
Furniture,5886.38,3.35,12.39,In Stock
Food,554.82,4.65,11.91,In Stock
Food,167.24,4.48,10.81,In Stock
Electronics,8356.35,2.08,1.62,In Stock
Furniture,14910.98,1.55,14.83,Out of Stock
Furniture,14727.36,,9.89,Out of Stock
Electronics,7889.04,4.46,5.79,Out of Stock
Electronics,7338.41,,8.22,In Stock
Electronics,7137.43,2.32,11.28,Out of Stock
Clothing,2626.44,2.6,47.05,Out of Stock
Food,566.82,4.65,16.69,In Stock
Clothing,2448.79,2.05,41.83,Out of Stock
Clothing,600.35,4.67,49.64,In Stock
Food,270.55,3.42,22.96,In Stock
Electronics,6265.13,4.46,2.06,Out of Stock
,814.89,4.94,35.32,In Stock
Clothing,2617.22,2.97,35.44,In Stock
Clothing,1985.6,3.81,35.71,In Stock
Furniture,9904.31,2.5,4.14,Out of Stock
Electronics,8842.91,1.91,13.85,Out of Stock
Food,225.0,4.25,22.41,In Stock
Food,214.04,3.12,3.93,In Stock
Electronics,8029.98,4.4,0.9,Out of Stock
Food,600.61,3.68,14.36,In Stock
Electronics,9644.3,2.33,9.31,Out of Stock
Electronics,5068.41,1.33,5.17,Out of Stock
Furniture,3334.23,3.21,6.4,In Stock
Furniture,9577.74,1.61,,Out of Stock
Furniture,10965.89,4.38,0.76,Out of Stock
Clothing,2725.96,3.73,30.38,In Stock
Electronics,7501.39,1.28,1.8,Out of Stock
Food,500.68,3.68,27.52,In Stock
Clothing,1516.48,2.43,37.16,In Stock
,6466.77,3.1,13.96,In Stock
Clothing,2750.66,4.38,35.44,In Stock
Electronics,8398.17,4.78,5.92,In Stock
Furniture,3013.35,1.95,3.27,Out of Stock
Clothing,2154.59,3.9,31.71,In Stock
Food,62.18,4.46,9.71,In Stock
Clothing,2162.64,3.67,20.42,In Stock
Food,150.93,3.19,24.95,In Stock
Food,738.8,4.3,,In Stock
Electronics,7010.14,3.92,15.6,Out of Stock
Furniture,4418.62,,10.68,Out of Stock
Furniture,7279.15,1.89,0.19,Out of Stock
Furniture,9483.59,3.98,14.36,Out of Stock
,9788.94,2.8,1.28,Out of Stock
Food,461.65,3.76,18.21,In Stock
Furniture,7664.72,1.84,1.42,Out of Stock
Electronics,6574.59,1.39,3.54,Out of Stock
Electronics,9936.68,2.78,10.64,Out of Stock
Electronics,9368.09,4.98,11.65,In Stock
Clothing,2531.18,2.98,18.76,In Stock
Clothing,1506.76,4.02,35.7,In Stock
,1288.1,2.4,33.46,In Stock
Furniture,4539.91,3.02,10.4,In Stock
Clothing,2251.53,,44.28,In Stock
Clothing,,4.19,32.86,In Stock
Food,189.98,3.05,8.54,In Stock
Electronics,7215.17,3.47,17.0,In Stock
,5354.95,1.44,14.45,Out of Stock
Electronics,5540.22,2.91,,In Stock
Furniture,9496.49,1.3,0.86,Out of Stock
Furniture,4265.8,3.05,8.17,In Stock
Electronics,6168.7,3.55,16.4,In Stock
Electronics,5207.89,2.99,13.79,Out of Stock
Furniture,6027.74,2.08,9.2,Out of Stock
Food,723.45,4.62,17.49,In Stock
,597.67,3.73,19.23,In Stock
Furniture,8594.18,1.66,10.53,Out of Stock
Electronics,7782.32,2.43,18.23,In Stock
Clothing,552.34,2.95,7.56,In Stock
Electronics,8832.64,3.81,6.63,In Stock
,11107.95,2.39,11.34,Out of Stock
Food,390.64,3.82,28.04,In Stock
Clothing,1127.2,2.36,31.3,In Stock
Electronics,9846.61,2.51,1.24,Out of Stock
Clothing,1348.26,3.52,12.29,In Stock
Clothing,2145.26,4.99,25.33,In Stock
Food,316.05,3.8,3.45,In Stock
Food,712.46,3.83,11.62,In Stock
Furniture,10916.28,2.55,9.72,Out of Stock
Clothing,653.62,4.44,47.32,In Stock
Electronics,8243.83,4.82,3.03,In Stock
Food,408.06,4.2,17.45,In Stock
Furniture,7817.54,2.18,1.9,Out of Stock
Food,343.81,3.33,22.03,In Stock
Furniture,5505.97,1.2,8.29,Out of Stock
Clothing,1988.07,4.62,30.96,Out of Stock
Food,,4.61,16.21,In Stock
Clothing,698.2,3.7,45.86,In Stock
Electronics,6981.56,2.19,2.87,Out of Stock
Electronics,5757.23,2.73,11.91,Out of Stock
Electronics,5403.08,4.76,,In Stock
Food,489.97,4.66,2.41,In Stock
Clothing,1692.1,3.89,42.29,In Stock
Food,637.6,3.55,28.23,In Stock
Furniture,4492.15,4.06,14.56,Out of Stock
Electronics,5885.77,3.89,0.81,In Stock
Clothing,1513.56,3.55,31.13,In Stock
Furniture,14231.25,3.35,7.22,Out of Stock
Electronics,9048.38,4.8,0.44,In Stock
Electronics,9912.61,1.34,16.29,In Stock
Clothing,1200.84,2.4,24.79,In Stock
,8219.78,2.52,1.09,Out of Stock
Furniture,10193.53,4.16,5.75,Out of Stock
Furniture,5595.99,2.55,0.73,Out of Stock
Food,665.37,4.65,17.64,In Stock
Furniture,7237.23,3.8,8.32,Out of Stock
Furniture,12911.19,3.21,11.77,Out of Stock
Electronics,7992.81,2.66,19.16,In Stock
Furniture,9493.37,3.12,3.31,Out of Stock
Food,519.24,4.14,5.55,In Stock
Furniture,3715.05,3.12,11.46,Out of Stock
Furniture,9280.82,1.79,10.0,Out of Stock
Clothing,700.26,3.33,,In Stock
,5922.3,1.81,7.73,Out of Stock
Electronics,5255.75,2.59,10.23,Out of Stock
Clothing,1708.24,3.15,42.76,In Stock
Furniture,4743.92,,0.93,Out of Stock
Furniture,3853.87,3.01,8.49,In Stock
Electronics,9390.17,3.23,19.2,Out of Stock
Food,86.52,3.2,1.32,In Stock
Clothing,963.19,3.62,34.05,In Stock
Electronics,5227.93,4.78,16.84,Out of Stock
Electronics,6483.06,1.31,3.4,Out of Stock
Clothing,817.36,2.37,28.34,In Stock
Furniture,5950.17,2.25,14.84,Out of Stock
Clothing,2210.79,4.85,11.42,In Stock
Food,336.6,4.11,2.3,In Stock
Food,53.14,4.34,19.25,In Stock
Clothing,1526.97,3.47,23.69,Out of Stock
Furniture,3288.06,2.17,2.66,In Stock
Furniture,4181.09,4.35,8.99,Out of Stock
Clothing,2321.64,2.95,22.69,In Stock
Clothing,1092.31,2.29,13.06,Out of Stock
Clothing,2493.79,4.03,29.61,Out of Stock
,1687.72,4.77,8.27,In Stock
Electronics,6403.0,2.4,15.65,In Stock
Food,794.39,3.48,26.23,In Stock
Food,672.97,3.45,11.98,In Stock
Electronics,7048.36,4.91,3.62,In Stock
Clothing,2497.89,3.0,,In Stock
Furniture,8040.13,3.02,12.49,Out of Stock
Electronics,9020.83,4.47,1.19,Out of Stock
Electronics,8460.25,1.56,8.32,Out of Stock
Clothing,1871.47,3.21,28.38,In Stock
Furniture,14958.32,1.47,10.13,Out of Stock
Electronics,6980.0,1.53,3.17,Out of Stock
Food,761.95,4.76,27.21,In Stock
Furniture,14898.39,1.73,5.33,Out of Stock
Electronics,8346.1,2.94,8.37,Out of Stock
Food,318.36,4.19,17.27,In Stock
Clothing,903.64,3.42,29.91,In Stock
Food,477.72,3.42,22.27,In Stock
Food,68.9,3.71,23.41,In Stock
Food,472.92,,20.85,In Stock
Electronics,7836.95,4.18,14.7,In Stock
,10321.3,2.71,2.0,Out of Stock
Clothing,1153.33,3.26,31.97,In Stock
Electronics,7568.54,2.15,0.13,Out of Stock
Electronics,7481.2,2.14,14.69,Out of Stock
